Board,Catalog,Sell Price,Qty
MSB-H-HOUSE,3VA52607ED310AA0,517.66,1
MSB-H-HOUSE,3VA52827ED310AA0,466.83,1
MSB-H-HOUSE,3VA53207EC310AA0,947.16,3
MSB-H-HOUSE,3VA53307EC310AA0,1112.88,1
MSB-H-HOUSE,3VA53407EC310AA0,1112.88,3
MSB-H-HOUSE,3VA54607EC310AA0,1592.4,1
MSB-H-HOUSE,3VA55807EC320AA0,2231.88,1
MSB-H-HOUSE,3VA92330JB11,16.8,2
MSB-H-HOUSE,3VA92330QA00,17.81,2
MSB-H-HOUSE,3VA93730JB13,63.75,8
MSB-H-HOUSE,3VA94730QA00,38.09,8
MSB-H-HOUSE,3VA96730JJ34,216.75,1
MSB-H-HOUSE,3WA,8954.4,1
MSB-H-HOUSE,US2:KS3VA52TDB,140.08,2
MSB-H-HOUSE,US2:KS3VA53TDB,278.46,8
MSB-H-HOUSE,US2:KS3VA55TDB,663.68,1
MSB-H-HOUSE,US2:S3VA52PR,33.5,2
MSB-H-HOUSE,US2:S3VA53PR,44.9,8
MSB-H-RES-1,3VA69207KQ310AA0,6273.54,1
MSB-H-RES-1,3VA98710JJ63,102.96,3
MSB-H-RES-1,3VA98720WA00,6.1,1
MSB-H-RES-1,3VA98730WM00,1098.2,1
MSB-H-RES-2,3VA69207KQ310AA0,6273.54,1
MSB-H-RES-2,3VA98710JJ63,102.96,3
MSB-H-RES-2,3VA98720WA00,6.1,1
MSB-H-RES-2,3VA98730WM00,1098.2,1
MSB-H-RES-3,3VA69207KQ310AA0,6273.54,1
MSB-H-RES-3,3VA98710JJ63,102.96,3
MSB-H-RES-3,3VA98720WA00,6.1,1
MSB-H-RES-3,3VA98730WM00,1098.2,1
